usernum,stim,cond,adjtype,displaytype,version,audiofile,response,timestamp,order,selectedpos,images,phrase,native,type,stimnum,mturkid,time,cheater,selection,target,condcollapsed,target1,target1hasrel,target1hasabs,target2hasrel,target2hasabs
54,target-1,pos:rel-both:a,pos,both-rel,a,target-1-a-pos,4,Fri Aug 24 13:02:32 2018,4:3:5:1:2,1,frog-big_box:rabbit-med_box:rabbit-small_box:rabbit-med_bag:rabbit-small_bag,rabbit in the big [inaudible],,target,1,585849a944177c0001aacf8e,4,FALSE,target1,0,both-rel pos,0,0,0,0,0
54,target-6,cmp:rel-abs:a,cmp,abs-rel,a,target-6-a-cmp,2,Fri Aug 24 13:02:46 2018,4:3:2:5:1,3,man-big_dog:girl-med_dog:girl-small_dog:girl-med_duck:man-small_duck,girl with the bigger [inaudible],,target,6,585849a944177c0001aacf8e,5,FALSE,target2,1,abs-rel cmp,1,0,1,1,0
54,target-5,pos:abs-both:b,pos,abs-both,b,target-5-b-pos,4,Fri Aug 24 13:02:57 2018,1:2:4:5:3,5,man-big_flower:lady-med_fan:man-small_fan:lady-med_fish:lady-small_fish,lady with the big [inaudible],,target,5,585849a944177c0001aacf8e,4,FALSE,target2,1,abs-both pos,1,0,1,1,1
54,target-4,pos:rel-both:b,pos,both-rel,b,target-4-b-pos,4,Fri Aug 24 13:03:08 2018,5:1:4:2:3,2,girl-big_pillow:boy-med_pillow:boy-small_pillow:boy-med_paintbrush:boy-small_paintbrush,boy with the big [inaudible],,target,4,585849a944177c0001aacf8e,4,FALSE,target1,0,both-rel pos,0,0,0,0,0
54,target-2,pos:abs-both:a,pos,abs-both,a,target-2-a-pos,4,Fri Aug 24 13:03:19 2018,5:2:3:1:4,1,bird-big_boat:frog-med_bathtub:bird-small_bathtub:frog-med_bucket:frog-small_bucket,frog in the big [inaudible],,target,2,585849a944177c0001aacf8e,4,FALSE,target2,1,abs-both pos,1,0,1,1,1
54,target-3,pos:rel-abs:b,pos,abs-rel,b,target-3-b-pos,2,Fri Aug 24 13:03:33 2018,5:1:2:4:3,1,bird-big_truck:cat-med_truck:cat-small_truck:cat-med_tree:bird-small_tree,cat in the big [inaudible],,target,3,585849a944177c0001aacf8e,6,FALSE,target2,1,abs-rel pos,1,0,1,1,0
55,target-10,cmp:abs-both:b,cmp,abs-both,b,target-10-b-cmp,4,Fri Aug 24 13:03:24 2018,5:3:1:2:4,2,lady-big_cherries:farmer-med_cheese:lady-small_cheese:farmer-med_chair:farmer-small_chair,farmer with the bigger [inaudible],,target,10,54e4be1bfdf99b5bad68f1a5,6,FALSE,target2,1,abs-both cmp,1,0,1,1,1
55,target-12,pos:rel-both:a,pos,both-rel,a,target-12-a-pos,2,Fri Aug 24 13:03:42 2018,1:4:2:5:3,4,cat-big_ladder:horse-med_ladder:horse-small_ladder:horse-med_lizard:horse-small_lizard,horse with the big [inaudible],,target,12,54e4be1bfdf99b5bad68f1a5,7,FALSE,target2,1,both-rel pos,1,0,0,0,0
55,target-3,pos:rel-both:b,pos,both-rel,b,target-3-b-pos,4,Fri Aug 24 13:04:01 2018,3:1:2:4:5,4,bird-big_truck:cat-med_truck:cat-small_truck:cat-med_tree:cat-small_tree,cat in the big [inaudible],,target,3,54e4be1bfdf99b5bad68f1a5,4,FALSE,target1,0,both-rel pos,0,0,0,0,0
55,target-4,pos:abs-both:b,pos,abs-both,b,target-4-b-pos,2,Fri Aug 24 13:04:17 2018,2:4:5:3:1,4,girl-big_pen:boy-med_pillow:girl-small_pillow:boy-med_paintbrush:boy-small_paintbrush,boy with the big [inaudible],,target,4,54e4be1bfdf99b5bad68f1a5,4,FALSE,target1,0,abs-both pos,0,0,1,1,1
